Sample ID,Field ID,Museum ID,Collection Code,Institution Storing
DNSC_2014_001A,DNSC_2014_001A,,,Davao del Norte State College
DNSC_2016_001A,DNSC_2016_001A,,,Davao del Norte State College
DNSC_2017_002A,DNSC_2017_002A,,,Davao del Norte State College
DNSC_2017_003A,DNSC_2017_003A,,,Davao del Norte State College
DNSC_2017_008A,DNSC_2017_008A,,,Davao del Norte State College
DNSC_2017_010A,DNSC_2017_010A,,,Davao del Norte State College
DNSC_2017_012A,DNSC_2017_012A,,,Davao del Norte State College
DNSC_2017_013A,DNSC_2017_013A,,,Davao del Norte State College
DNSC_2017_018A,DNSC_2017_018A,,,Davao del Norte State College
DNSC_2017_020A,DNSC_2017_020A,,,Davao del Norte State College
DNSC_2017_021A,DNSC_2017_021A,,,Davao del Norte State College
DNSC_2017_022A,DNSC_2017_022A,,,Davao del Norte State College
DNSC_2017_023A,DNSC_2017_023A,,,Davao del Norte State College
DNSC_2017_026A,DNSC_2017_026A,,,Davao del Norte State College
DNSC_2017_028A,DNSC_2017_028A,,,Davao del Norte State College
DNSC_2017_030A,DNSC_2017_030A,,,Davao del Norte State College
DNSC_2017_032A,DNSC_2017_032A,,,Davao del Norte State College
DNSC_2017_039A,DNSC_2017_039A,,,Davao del Norte State College
DNSC_2017_042A,DNSC_2017_042A,,,Davao del Norte State College
DNSC_2017_064A,DNSC_2017_064A,,,Davao del Norte State College
DNSC_2017_066A,DNSC_2017_066A,,,Davao del Norte State College
DNSC_2017_069A,DNSC_2017_069A,,,Davao del Norte State College
DNSC_2017_072A,DNSC_2017_072A,,,Davao del Norte State College
DNSC_2017_077A,DNSC_2017_077A,,,Davao del Norte State College
DNSC_2017_081A,DNSC_2017_081A,,,Davao del Norte State College
DNSC_2017_084A,DNSC_2017_084A,,,Davao del Norte State College
DNSC_2017_091A,DNSC_2017_091A,,,Davao del Norte State College
DNSC_2017_096A,DNSC_2017_096A,,,Davao del Norte State College
DNSC_2017_105A,DNSC_2017_105A,,,Davao del Norte State College
DNSC_2017_110A,DNSC_2017_110A,,,Davao del Norte State College
DNSC_2017_115A,DNSC_2017_115A,,,Davao del Norte State College
DNSC_2017_120A,DNSC_2017_120A,,,Davao del Norte State College
DNSC_2017_124A,DNSC_2017_124A,,,Davao del Norte State College
DNSC_2017_125A,DNSC_2017_125A,,,Davao del Norte State College
DNSC_2017_126A,DNSC_2017_126A,,,Davao del Norte State College
DNSC_2017_127A,DNSC_2017_127A,,,Davao del Norte State College
DNSC_2017_132A,DNSC_2017_132A,,,Davao del Norte State College
DNSC_2017_133A,DNSC_2017_133A,,,Davao del Norte State College
DNSC_2017_195A,DNSC_2017_195A,,,Davao del Norte State College
DNSC_2018_003A,DNSC_2018_003A,,,Davao del Norte State College
DNSC_2018_004A,DNSC_2018_004A,,,Davao del Norte State College
DNSC_2018_019A,DNSC_2018_019A,,,Davao del Norte State College
DNSC_2018_023A,DNSC_2018_023A,,,Davao del Norte State College
DNSC_2018_038A,DNSC_2018_038A,,,Davao del Norte State College
DNSC_2018_039A,DNSC_2018_039A,,,Davao del Norte State College
DNSC_2018_042A,DNSC_2018_042A,,,Davao del Norte State College
DNSC_2018_055A,DNSC_2018_055A,,,Davao del Norte State College
DNSC_2018_055B,DNSC_2018_055B,,,Davao del Norte State College
DNSC_2018_059A,DNSC_2018_059A,,,Davao del Norte State College
DNSC_2018_061A,DNSC_2018_061A,,,Davao del Norte State College
DNSC_2018_062A,DNSC_2018_062A,,,Davao del Norte State College
DNSC_2018_064A,DNSC_2018_064A,,,Davao del Norte State College
DNSC_2018_065A,DNSC_2018_065A,,,Davao del Norte State College
DNSC_2018_072A,DNSC_2018_072A,,,Davao del Norte State College
DNSC_2018_074A,DNSC_2018_074A,,,Davao del Norte State College
DNSC_2018_081A,DNSC_2018_081A,,,Davao del Norte State College
DNSC_2018_088A,DNSC_2018_088A,,,Davao del Norte State College
DNSC_2018_095A,DNSC_2018_095A,,,Davao del Norte State College
DNSC_2018_100A,DNSC_2018_100A,,,Davao del Norte State College
DNSC_2018_101A,DNSC_2018_101A,,,Davao del Norte State College
DNSC_2018_103A,DNSC_2018_103A,,,Davao del Norte State College
DNSC_2018_115A,DNSC_2018_115A,,,Davao del Norte State College
