Order,Family,Species,Mean Intra-Sp,Max Intra-Sp,Nearest Species,Nearest Neighbour,Distance to NN
Acanthuriformes,Acanthuridae,Acanthurus auranticavus,N/A,0,Acanthurus nigricauda,MINDA447-23,5.42
Acanthuriformes,Acanthuridae,Acanthurus mata,N/A,0,Acanthurus auranticavus,MINDA386-23,8.7
Acanthuriformes,Acanthuridae,Acanthurus nigricauda,N/A,0,Acanthurus auranticavus,MINDA386-23,5.42
Acanthuriformes,Acanthuridae,Acanthurus olivaceus,N/A,0,Acanthurus auranticavus,MINDA386-23,8.1
Acanthuriformes,Acanthuridae,Acanthurus pyroferus,0.76,0.76,Ctenochaetus binotatus,MINDA271-23,8.95
Acanthuriformes,Acanthuridae,Ctenochaetus binotatus,N/A,0,Ctenochaetus tominiensis,MINDA423-23,6.86
Acanthuriformes,Acanthuridae,Ctenochaetus striatus,0,0,Ctenochaetus binotatus,MINDA271-23,9.11
Acanthuriformes,Acanthuridae,Ctenochaetus tominiensis,0.15,0.15,Ctenochaetus binotatus,MINDA271-23,6.86
Acanthuriformes,Acanthuridae,Naso brevirostris,N/A,0,Naso vlamingii,MINDA120-23,3.36
Acanthuriformes,Acanthuridae,Naso hexacanthus,0.31,0.31,Naso brevirostris,MINDA076-23,6.04
Acanthuriformes,Acanthuridae,Naso lituratus,N/A,0,Naso unicornis,MINDA222-23,7.42
Acanthuriformes,Acanthuridae,Naso minor,N/A,0,Naso vlamingii,MINDA120-23,10.5
Acanthuriformes,Acanthuridae,Naso thynnoides,N/A,0,Naso brevirostris,MINDA076-23,11.63
Acanthuriformes,Acanthuridae,Naso unicornis,N/A,0,Naso lituratus,MINDA146-23,7.42
Acanthuriformes,Acanthuridae,Naso vlamingii,N/A,0,Naso brevirostris,MINDA076-23,3.36
Acanthuriformes,Acanthuridae,Zebrasoma velifer,N/A,0,Paracaesio xanthura,MINDA163-23,16.07
Acanthuriformes,Emmelichthyidae,Emmelichthys struhsakeri,N/A,0,Etelis coruscans,MINDA134-23,14.22
Acanthuriformes,Zanclidae,Zanclus cornutus,N/A,0,Nemipterus balinensoides,MINDA142-23,17.62
Anguilliformes,Congridae,Conger cinereus,N/A,0,Emmelichthys struhsakeri,MINDA141-23,21.41
Anguilliformes,Muraenidae,Gymnothorax zonipectis,N/A,0,Cheilodipterus singapurensis,MINDA390-23,18.96
Aulopiformes,Chlorophthalmidae,Chlorophthalmus nigromarginatus,N/A,0,Siganus unimaculatus,MINDA300-23,15.87
Aulopiformes,Synodontidae,Saurida gracilis,0.45,0.45,Monotaxis heterodon,MINDA170-23,19.3
Aulopiformes,Synodontidae,Saurida micropectoralis,N/A,0,Myripristis violacea,MINDA200-23,17.88
Aulopiformes,Synodontidae,Synodus variegatus,N/A,0,Aethaloperca rogaa,MINDA158-23,22.59
Beloniformes,Belonidae,Tylosurus crocodilus,N/A,0,Tylosurus sp.,MINDA188-23,11.08
Beloniformes,Belonidae,Tylosurus sp.,N/A,0,Tylosurus crocodilus,MINDA471-23,11.08
Beryciformes,Berycidae,Beryx mollis,N/A,0,Monotaxis heterodon,MINDA170-23,16.99
Blenniiformes,Blenniidae,Salarias fasciatus,0.15,0.15,Lutjanus argentimaculatus,MINDA148-23,18.12
Carangiformes,Carangidae,Alectis ciliaris,N/A,0,Atropus mentalis,MINDA413-23,11.56
Carangiformes,Carangidae,Atropus mentalis,N/A,0,Craterognathus plagiotaenia,MINDA166-23,10.93
Carangiformes,Carangidae,Atule mate,N/A,0,Ferdauia ferdau,MINDA165-23,13.16
Carangiformes,Carangidae,Caranx melampygus,0.53,1,Caranx sexfasciatus,MINDA144-23,6.07
Carangiformes,Carangidae,Caranx sexfasciatus,N/A,0,Caranx melampygus,MINDA357-23,6.07
Carangiformes,Carangidae,Craterognathus plagiotaenia,N/A,0,Atropus mentalis,MINDA413-23,10.93
Carangiformes,Carangidae,Ferdauia ferdau,N/A,0,Atropus mentalis,MINDA413-23,12.57
Carangiformes,Carangidae,Trachinotus baillonii,N/A,0,Ferdauia ferdau,MINDA165-23,17.8
