"","SampleID","ID","sequencedescription","database","citation","taxonomicidentification","similarity","specimen_url","specimen_country","specimen_lat","specimen_lon"
"1","DNSC_2014_001A","ANGBF38522-19","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio sordida",1,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ANGBF38522-19","Philippines",NA,NA
"2","DNSC_2014_001A","BIFZC176-17","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio stonei",0.9982,"http://www.boldsystems.org/index.php/Public_RecordView?processid=BIFZC176-17","Indonesia",-3.68757,128.183
"3","DNSC_2014_001A","PHILA509-13","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio kusakarii",0.9817,"http://www.boldsystems.org/index.php/Public_RecordView?processid=PHILA509-13","Philippines",7.019,125.496
"4","DNSC_2014_001A","ZOSKT698-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio kusakarii",0.981,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT698-16","",NA,NA
"5","DNSC_2014_001A","FOAK990-10","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio kusakarii",0.9799,"http://www.boldsystems.org/index.php/Public_RecordView?processid=FOAK990-10","Indonesia",-8.75,115.15
"6","DNSC_2014_001A","FOAM619-10","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio kusakarii",0.9799,"http://www.boldsystems.org/index.php/Public_RecordView?processid=FOAM619-10","Indonesia",-8.8,116.483
"7","DNSC_2014_001A","FOAM620-10","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio kusakarii",0.9799,"http://www.boldsystems.org/index.php/Public_RecordView?processid=FOAM620-10","Indonesia",-8.8,116.483
"8","DNSC_2014_001A","ZOSKT699-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9657,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT699-16","",NA,NA
"9","DNSC_2014_001A","ZOSKT700-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9657,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT700-16","",NA,NA
"10","DNSC_2014_001A","ZOSKT701-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9657,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT701-16","",NA,NA
"11","DNSC_2014_001A","ZOSKT2388-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9657,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT2388-16","China",38.0733,104.691
"12","DNSC_2014_001A","ZOSKT2389-16","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9657,"http://www.boldsystems.org/index.php/Public_RecordView?processid=ZOSKT2389-16","China",38.0733,104.691
"13","DNSC_2014_001A","FTWS644-09","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9648,"http://www.boldsystems.org/index.php/Public_RecordView?processid=FTWS644-09","Taiwan",NA,NA
"14","DNSC_2014_001A","FOAM618-10","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio caerulea",0.9634,"http://www.boldsystems.org/index.php/Public_RecordView?processid=FOAM618-10","Indonesia",-8.8,116.483
"15","DNSC_2014_001A","BIFZC175-17","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio gonzalesi",0.9634,"http://www.boldsystems.org/index.php/Public_RecordView?processid=BIFZC175-17","Indonesia",-3.68757,128.183
"16","DNSC_2014_001A","AMS556-08","COI-5P","BOLD: Public Records","BOLD Systems, 2023","Paracaesio gonzalesi",0.956,"http://www.boldsystems.org/index.php/Public_RecordView?processid=AMS556-08","Australia",-31.55,159.083
