taxa,process_id_1,species_1,process_id_2,species_2,distance
Parupeneus,MINDA094-23,Parupeneus heptacanthus,MINDA041-23,Parupeneus crassilabris,13.304316
Parupeneus,MINDA139-23,Parupeneus pleurostigma,MINDA041-23,Parupeneus crassilabris,16.166847
Parupeneus,MINDA139-23,Parupeneus pleurostigma,MINDA094-23,Parupeneus heptacanthus,15.463678
Parupeneus,MINDA209-23,Parupeneus barberinus,MINDA041-23,Parupeneus crassilabris,10.235778
Parupeneus,MINDA209-23,Parupeneus barberinus,MINDA094-23,Parupeneus heptacanthus,12.736871
Parupeneus,MINDA209-23,Parupeneus barberinus,MINDA139-23,Parupeneus pleurostigma,15.3376465
Parupeneus,MINDA223-23,Parupeneus cyclostomus,MINDA041-23,Parupeneus crassilabris,13.729584
Parupeneus,MINDA223-23,Parupeneus cyclostomus,MINDA094-23,Parupeneus heptacanthus,15.709014
Parupeneus,MINDA223-23,Parupeneus cyclostomus,MINDA139-23,Parupeneus pleurostigma,18.16235
Parupeneus,MINDA223-23,Parupeneus cyclostomus,MINDA209-23,Parupeneus barberinus,14.600715
Parupeneus,MINDA315-23,Parupeneus multifasciatus,MINDA041-23,Parupeneus crassilabris,10.171485
Parupeneus,MINDA315-23,Parupeneus multifasciatus,MINDA094-23,Parupeneus heptacanthus,14.598088
Parupeneus,MINDA315-23,Parupeneus multifasciatus,MINDA139-23,Parupeneus pleurostigma,17.929142
Parupeneus,MINDA315-23,Parupeneus multifasciatus,MINDA209-23,Parupeneus barberinus,12.2071905
Parupeneus,MINDA315-23,Parupeneus multifasciatus,MINDA223-23,Parupeneus cyclostomus,14.484623
Parupeneus,MINDA316-23,Parupeneus multifasciatus,MINDA041-23,Parupeneus crassilabris,8.908172
Parupeneus,MINDA316-23,Parupeneus multifasciatus,MINDA094-23,Parupeneus heptacanthus,13.336754
Parupeneus,MINDA316-23,Parupeneus multifasciatus,MINDA139-23,Parupeneus pleurostigma,16.769762
Parupeneus,MINDA316-23,Parupeneus multifasciatus,MINDA209-23,Parupeneus barberinus,11.19479
Parupeneus,MINDA316-23,Parupeneus multifasciatus,MINDA223-23,Parupeneus cyclostomus,13.607134
Parupeneus,MINDA317-23,Parupeneus multifasciatus,MINDA041-23,Parupeneus crassilabris,9.08548
Parupeneus,MINDA317-23,Parupeneus multifasciatus,MINDA094-23,Parupeneus heptacanthus,13.336754
