"","taxa","species_1","process_id_1","species_2","process_id_2","distance","level"
"1","Abalistes","Abalistes stellatus","MINDA473-23","Abalistes filamentosus","MINDA039-23",6.21775358692773,"genus"
"2","Abudefduf","Abudefduf septemfasciatus","MINDA371-23","Abudefduf vaigiensis","MINDA214-23",4.02905714568893,"genus"
"3","Abudefduf","Abudefduf septemfasciatus","MINDA371-23","Abudefduf vaigiensis","MINDA215-23",4.02905714568893,"genus"
"4","Abudefduf","Abudefduf vaigiensis","MINDA472-23","Abudefduf septemfasciatus","MINDA371-23",4.17877732108891,"genus"
"5","Acanthurus","Acanthurus pyroferus","MINDA288-23","Acanthurus olivaceus","MINDA145-23",10.4996857787719,"genus"
"6","Acanthurus","Acanthurus mata","MINDA369-23","Acanthurus olivaceus","MINDA145-23",10.0049855270682,"genus"
"7","Acanthurus","Acanthurus mata","MINDA369-23","Acanthurus pyroferus","MINDA288-23",10.7785029590931,"genus"
"8","Acanthurus","Acanthurus auranticavus","MINDA386-23","Acanthurus olivaceus","MINDA145-23",8.09610184150619,"genus"
"9","Acanthurus","Acanthurus auranticavus","MINDA386-23","Acanthurus pyroferus","MINDA288-23",9.55897961362849,"genus"
"10","Acanthurus","Acanthurus auranticavus","MINDA386-23","Acanthurus mata","MINDA369-23",8.7024341357682,"genus"
"11","Acanthurus","Acanthurus pyroferus","MINDA425-23","Acanthurus olivaceus","MINDA145-23",10.3307588339767,"genus"
"12","Acanthurus","Acanthurus pyroferus","MINDA425-23","Acanthurus mata","MINDA369-23",10.9484093661294,"genus"
"13","Acanthurus","Acanthurus pyroferus","MINDA425-23","Acanthurus auranticavus","MINDA386-23",9.77546157569089,"genus"
"14","Acanthurus","Acanthurus nigricauda","MINDA447-23","Acanthurus olivaceus","MINDA145-23",9.2744676283665,"genus"
"15","Acanthurus","Acanthurus nigricauda","MINDA447-23","Acanthurus pyroferus","MINDA288-23",9.69490403248267,"genus"
"16","Acanthurus","Acanthurus nigricauda","MINDA447-23","Acanthurus mata","MINDA369-23",9.15435822727189,"genus"
"17","Acanthurus","Acanthurus nigricauda","MINDA447-23","Acanthurus auranticavus","MINDA386-23",5.41503216331043,"genus"
"18","Acanthurus","Acanthurus nigricauda","MINDA447-23","Acanthurus pyroferus","MINDA425-23",9.86272644377145,"genus"
"19","Amblyglyphidodon","Amblyglyphidodon aureus","MINDA383-23","Amblyglyphidodon curacao","MINDA379-23",8.71484044422772,"genus"
"20","Amphiprion","Amphiprion perideraion","MINDA381-23","Amphiprion clarkii","MINDA189-23",4.6878576083472,"genus"
"21","Anampses","Anampses meleagrides","MINDA009-23","Anampses caeruleopunctatus","MINDA003-23",14.8532042947117,"genus"
"22","Anampses","Anampses geographicus","MINDA012-23","Anampses caeruleopunctatus","MINDA003-23",16.3269539464936,"genus"
"23","Anampses","Anampses geographicus","MINDA012-23","Anampses meleagrides","MINDA009-23",17.7157603104967,"genus"
"24","Balistoides","Balistoides viridescens","MINDA103-23","Balistoides conspicillum","MINDA044-23",16.8947217875637,"genus"
"25","Bodianus","Bodianus mesothorax","MINDA287-23","Bodianus dictynna","MINDA059-23",13.1731937017561,"genus"
"26","Brama","Brama dussumieri","MINDA474-23","Brama orcini","MINDA467-23",0.649555728093705,"genus"
"27","Caesio","Caesio caerulaurea","MINDA448-23","Caesio cuning","MINDA233-23",9.9174938340699,"genus"
"28","Caesio","Caesio lunaris","MINDA485-23","Caesio cuning","MINDA233-23",9.8121072171796,"genus"
"29","Caesio","Caesio lunaris","MINDA485-23","Caesio caerulaurea","MINDA448-23",11.0238940591834,"genus"
"30","Calotomus","Calotomus spinidens","MINDA245-23","Calotomus carolinus","MINDA244-23",14.6502506830617,"genus"
"31","Calotomus","Calotomus spinidens","MINDA303-23","Calotomus carolinus","MINDA244-23",14.6502506830617,"genus"
"32","Calotomus","Calotomus carolinus","MINDA327-23","Calotomus spinidens","MINDA245-23",15.8450725547206,"genus"
"33","Calotomus","Calotomus carolinus","MINDA327-23","Calotomus spinidens","MINDA303-23",15.8450725547206,"genus"
"34","Calotomus","Calotomus carolinus","MINDA328-23","Calotomus spinidens","MINDA245-23",14.6502506830617,"genus"
"35","Calotomus","Calotomus carolinus","MINDA328-23","Calotomus spinidens","MINDA303-23",14.6502506830617,"genus"
"36","Caranx","Caranx melampygus","MINDA354-23","Caranx sexfasciatus","MINDA144-23",6.2012359581594,"genus"
"37","Caranx","Caranx melampygus","MINDA355-23","Caranx sexfasciatus","MINDA144-23",7.64498698774246,"genus"
"38","Caranx","Caranx melampygus","MINDA356-23","Caranx sexfasciatus","MINDA144-23",6.52903751335645,"genus"
"39","Caranx","Caranx melampygus","MINDA357-23","Caranx sexfasciatus","MINDA144-23",6.07351517313992,"genus"
"40","Centropyge","Centropyge vrolikii","MINDA062-23","Centropyge bicolor","MINDA052-23",13.9723467114363,"genus"
