"","taxa","species_1","process_id_1","species_2","process_id_2","distance","level"
"1","Abudefduf vaigiensis","Abudefduf vaigiensis","MINDA215-23","Abudefduf vaigiensis","MINDA214-23",0,"species"
"2","Abudefduf vaigiensis","Abudefduf vaigiensis","MINDA472-23","Abudefduf vaigiensis","MINDA214-23",0.487808747268234,"species"
"3","Abudefduf vaigiensis","Abudefduf vaigiensis","MINDA472-23","Abudefduf vaigiensis","MINDA215-23",0.487808747268234,"species"
"4","Acanthurus pyroferus","Acanthurus pyroferus","MINDA425-23","Acanthurus pyroferus","MINDA288-23",0.75891069478759,"species"
"5","Anyperodon leucogrammicus","Anyperodon leucogrammicus","MINDA205-23","Anyperodon leucogrammicus","MINDA204-23",0.1483680613901,"species"
"6","Balistapus undulatus","Balistapus undulatus","MINDA441-23","Balistapus undulatus","MINDA140-23",0.634929166856372,"species"
"7","Calotomus carolinus","Calotomus carolinus","MINDA327-23","Calotomus carolinus","MINDA244-23",0,"species"
"8","Calotomus carolinus","Calotomus carolinus","MINDA328-23","Calotomus carolinus","MINDA244-23",0,"species"
"9","Calotomus carolinus","Calotomus carolinus","MINDA328-23","Calotomus carolinus","MINDA327-23",0,"species"
"10","Calotomus spinidens","Calotomus spinidens","MINDA303-23","Calotomus spinidens","MINDA245-23",0,"species"
"11","Canthidermis maculata","Canthidermis maculata","MINDA262-23","Canthidermis maculata","MINDA027-23",0,"species"
"12","Canthidermis maculata","Canthidermis maculata","MINDA263-23","Canthidermis maculata","MINDA027-23",0,"species"
"13","Canthidermis maculata","Canthidermis maculata","MINDA263-23","Canthidermis maculata","MINDA262-23",0,"species"
"14","Caranx melampygus","Caranx melampygus","MINDA355-23","Caranx melampygus","MINDA354-23",0.690478737055571,"species"
"15","Caranx melampygus","Caranx melampygus","MINDA356-23","Caranx melampygus","MINDA354-23",0.17391321881624,"species"
"16","Caranx melampygus","Caranx melampygus","MINDA356-23","Caranx melampygus","MINDA355-23",0.995039470803669,"species"
"17","Caranx melampygus","Caranx melampygus","MINDA357-23","Caranx melampygus","MINDA354-23",0.344828952953016,"species"
"18","Caranx melampygus","Caranx melampygus","MINDA357-23","Caranx melampygus","MINDA355-23",0.822919118147937,"species"
"19","Caranx melampygus","Caranx melampygus","MINDA357-23","Caranx melampygus","MINDA356-23",0.165768876031322,"species"
"20","Centropyge vrolikii","Centropyge vrolikii","MINDA382-23","Centropyge vrolikii","MINDA062-23",0.451979561034026,"species"
"21","Cephalopholis aitha","Cephalopholis aitha","MINDA115-23","Cephalopholis aitha","MINDA035-23",0.150376053197766,"species"
"22","Cephalopholis aitha","Cephalopholis aitha","MINDA255-23","Cephalopholis aitha","MINDA035-23",0.300922044325218,"species"
"23","Cephalopholis aitha","Cephalopholis aitha","MINDA255-23","Cephalopholis aitha","MINDA115-23",0.445932955070949,"species"
"24","Cephalopholis aitha","Cephalopholis aitha","MINDA466-23","Cephalopholis aitha","MINDA035-23",0,"species"
"25","Cephalopholis aitha","Cephalopholis aitha","MINDA466-23","Cephalopholis aitha","MINDA115-23",0,"species"
"26","Cephalopholis aitha","Cephalopholis aitha","MINDA466-23","Cephalopholis aitha","MINDA255-23",0.302286516623967,"species"
"27","Cephalopholis boenak","Cephalopholis boenak","MINDA410-23","Cephalopholis boenak","MINDA392-23",0.150376053197766,"species"
"28","Cephalopholis cyanostigma","Cephalopholis cyanostigma","MINDA419-23","Cephalopholis cyanostigma","MINDA099-23",0.454031701381667,"species"
"29","Cephalopholis leopardus","Cephalopholis leopardus","MINDA437-23","Cephalopholis leopardus","MINDA321-23",0.705162532162169,"species"
"30","Cephalopholis microprion","Cephalopholis microprion","MINDA449-23","Cephalopholis microprion","MINDA207-23",0.974251469528159,"species"
"31","Cephalopholis sexmaculata","Cephalopholis sexmaculata","MINDA257-23","Cephalopholis sexmaculata","MINDA256-23",0.596132247845307,"species"
"32","Chaetodon baronessa","Chaetodon baronessa","MINDA280-23","Chaetodon baronessa","MINDA279-23",0.487213424178242,"species"
"33","Chaetodon baronessa","Chaetodon baronessa","MINDA281-23","Chaetodon baronessa","MINDA279-23",0.487213424178242,"species"
"34","Chaetodon baronessa","Chaetodon baronessa","MINDA281-23","Chaetodon baronessa","MINDA280-23",0,"species"
"35","Chaetodon kleinii","Chaetodon kleinii","MINDA283-23","Chaetodon kleinii","MINDA282-23",0.1483680613901,"species"
"36","Chaetodon oxycephalus","Chaetodon oxycephalus","MINDA309-23","Chaetodon oxycephalus","MINDA227-23",0.1483680613901,"species"
"37","Cheilinus trilobatus","Cheilinus trilobatus","MINDA407-23","Cheilinus trilobatus","MINDA329-23",4.00230015585016,"species"
"38","Cheilinus trilobatus","Cheilinus trilobatus","MINDA443-23","Cheilinus trilobatus","MINDA329-23",4.07178910456644,"species"
"39","Cheilinus trilobatus","Cheilinus trilobatus","MINDA443-23","Cheilinus trilobatus","MINDA407-23",0.454031701381667,"species"
"40","Cheilio inermis","Cheilio inermis","MINDA446-23","Cheilio inermis","MINDA250-23",0.606238820443074,"species"
"41","Choerodon typus","Choerodon typus","MINDA042-23","Choerodon typus","MINDA040-23",0.150376053197766,"species"
"42","Coradion chrysozonus","Coradion chrysozonus","MINDA310-23","Coradion chrysozonus","MINDA074-23",0.2971776950424,"species"
"43","Ctenochaetus striatus","Ctenochaetus striatus","MINDA424-23","Ctenochaetus striatus","MINDA229-23",0,"species"
"44","Ctenochaetus tominiensis","Ctenochaetus tominiensis","MINDA423-23","Ctenochaetus tominiensis","MINDA370-23",0.152671874344517,"species"
"45","Cubiceps pauciradiatus","Cubiceps pauciradiatus","MINDA487-23","Cubiceps pauciradiatus","MINDA175-23",0.151057516708811,"species"
